6537,2808,25500,10000,15.51,16.08
6523,2802,25500,10900,15.86,16.41
6514,2799,25400,10900,16.04,16.7
6584,2829,25700,11100,15.58,16.08
6458,2774,25200,10800,16.06,16.64
6514,2798,25400,10900,15.92,16.43
6462,2776,25200,10800,16.21,16.81
6576,2825,25700,11000,15.67,16.15
6650,2857,25000,11200,15.21,15.65
6531,2806,25500,10000,15.84,16.36
6477,2783,25300,10900,15.86,16.43
6497,2791,25400,10900,16.13,16.72
6428,2762,25100,10800,16.34,16.9
6504,2794,25400,10900,15.92,16.54
6486,2787,25300,10900,16.04,16.62
6444,2769,25200,10800,16.27,16.85
6507,2796,25400,10900,15.85,16.43
6387,2744,24900,10700,16.51,17.15
6522,2802,25500,10900,15.85,16.36
6446,2769,25200,10800,16.25,16.91
6514,2799,25400,10900,15.94,16.47
6474,2781,25300,10900,15.92,16.56
6484,2786,25300,10900,15.87,16.48
6559,2818,25600,11000,15.82,16.31
6411,2755,25000,10800,16.47,17.07
6553,2815,25600,10000,15.76,16.29
6439,2766,25200,10800,16.27,16.92
6575,2825,25700,11000,15.79,16.25
6439,2767,25200,10800,16.14,16.74
6120,2630,23900,10300,16.06,16.68
6506,2795,25400,10900,16.03,16.62
6581,2828,25700,11000,15.57,16.11
6543,2811,25600,10000,15.61,16.18
6455,2773,25200,10800,16.31,16.96
6459,2775,25200,10800,15.97,16.54
6476,2782,25300,10900,16.29,16.83
6503,2794,25400,10900,16.1,16.79
6628,2848,25900,11100,15.43,15.91
6564,2820,25600,11000,15.52,16.03
6518,2801,25500,10900,15.68,16.25
6527,2804,25500,10000,15.83,16.39
6618,2843,25900,11100,15.37,15.84
6565,2820,25600,11000,15.84,16.33
6322,2716,24700,10600,16.98,17.68
6498,2792,25400,10900,16.09,16.65
6506,2795,25400,10900,15.92,16.41
6598,2835,25800,11100,15.57,16.11
6629,2848,25900,11100,15.28,15.8
6403,2751,25000,10700,16.5,17.19
6461,2776,25200,10800,16.26,16.83
6424,2760,25100,10800,16.24,16.85
6507,2796,25400,10900,15.96,16.55
6529,2805,25500,10000,15.84,16.52
6516,2800,25500,10900,15.96,16.53
6597,2834,25800,11100,15.61,16.1
6540,2810,25500,10000,15.82,16.36
6498,2792,25400,10900,16,16.64
6557,2817,25600,11000,15.95,16.47
6505,2795,25400,10900,15.92,16.46
6578,2826,25700,11000,15.64,16.21
6461,2776,25200,10800,16.4,17.04
6459,2775,25200,10800,16.23,16.93
6414,2756,25100,10800,16.45,17.1
6515,2799,25500,10900,15.89,16.45
6572,2824,25700,11000,15.81,16.36
6637,2851,25900,11100,15.63,16.15
6486,2787,25300,10900,16.39,17.06
6546,2813,25600,10000,15.99,16.56
6037,2594,23600,10100,16.6,17.22
6498,2792,25400,10900,16.37,17.01
6548,2813,25600,10000,15.99,16.62
6383,2743,24900,10700,16.99,17.7
6506,2795,25400,10900,16.04,16.64
6496,2791,25400,10900,15.9,16.49
