run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
140,22,2,2,DELIVERY,0,0,0
140,55,20,20,PAYMENT,0,0,0
140,55,33,33,PAYMENT,0,0,0
140,55,20,20,PAYMENT,0,0,0
140,55,35,35,PAYMENT,0,0,0
140,58,0,0,DELIVERY,0,0,0
140,58,29,29,PAYMENT,0,0,0
140,58,36,36,PAYMENT,0,0,0
140,58,36,36,PAYMENT,0,0,0
140,59,14,14,PAYMENT,0,0,0
140,59,23,23,ORDER_STATUS,0,0,0
140,60,34,34,PAYMENT,0,0,0
140,60,0,0,DELIVERY,0,0,0
140,61,14,14,PAYMENT,0,0,0
140,63,19,19,PAYMENT,0,0,0
140,67,44,44,PAYMENT,0,0,0
140,67,47,47,PAYMENT,0,0,0
140,92,56,56,STOCK_LEVEL,0,0,0
140,112,92,92,PAYMENT,0,0,0
140,117,97,97,NEW_ORDER,0,0,0
140,117,97,97,NEW_ORDER,0,0,0
140,117,83,83,NEW_ORDER,0,0,0
140,117,95,95,NEW_ORDER,0,0,0
140,117,92,92,NEW_ORDER,0,0,0
140,117,97,97,PAYMENT,0,0,0
140,117,82,82,NEW_ORDER,0,0,0
140,118,67,67,PAYMENT,0,0,0
140,118,98,98,PAYMENT,0,0,0
140,118,96,96,PAYMENT,0,0,0
140,119,90,90,PAYMENT,0,0,0
140,119,59,58,DELIVERY_BG,0,0,0
140,118,89,89,PAYMENT,0,0,0
140,120,98,98,PAYMENT,0,0,0
140,118,74,74,NEW_ORDER,0,0,0
140,121,95,95,ORDER_STATUS,0,0,0
140,121,92,92,ORDER_STATUS,0,0,0
140,119,67,67,PAYMENT,0,0,0
140,122,102,102,NEW_ORDER,0,0,0
140,122,86,86,PAYMENT,0,0,0
140,122,88,88,PAYMENT,0,0,0
140,119,97,97,NEW_ORDER,0,0,0
140,123,88,88,NEW_ORDER,0,0,0
140,126,99,99,NEW_ORDER,0,0,0
140,126,63,63,ORDER_STATUS,0,0,0
140,127,104,104,NEW_ORDER,0,0,0
140,127,107,107,NEW_ORDER,0,0,0
140,127,66,66,ORDER_STATUS,0,0,0
140,127,107,107,NEW_ORDER,0,0,0
140,117,59,59,PAYMENT,0,0,0
140,121,0,0,DELIVERY,0,0,0
140,128,105,105,NEW_ORDER,0,0,0
140,130,104,104,NEW_ORDER,0,0,0
140,131,111,111,NEW_ORDER,0,0,0
140,131,111,111,NEW_ORDER,0,0,0
140,132,110,110,PAYMENT,0,0,0
140,132,110,110,PAYMENT,0,0,0
140,132,106,106,NEW_ORDER,0,0,0
140,132,0,0,DELIVERY,0,0,0
140,133,98,98,NEW_ORDER,0,0,0
140,133,80,80,NEW_ORDER,0,0,0
140,133,0,0,DELIVERY,0,0,0
140,133,98,98,PAYMENT,0,0,0
140,133,113,113,NEW_ORDER,0,0,0
140,134,105,105,NEW_ORDER,0,0,0
140,134,107,107,NEW_ORDER,0,0,0
140,134,42,42,PAYMENT,0,0,0
140,133,89,89,NEW_ORDER,0,0,0
140,135,108,108,NEW_ORDER,0,0,0
140,135,109,109,PAYMENT,0,0,0
140,135,113,113,NEW_ORDER,0,0,0
140,135,113,113,NEW_ORDER,0,0,0
140,136,86,86,NEW_ORDER,0,0,0
