Iteration,CPU(%),MEM(%),Disk Read(MB/s),Disk Write(MB/s)
1,.31,0.3,0,32.48
2,.41,0.5,0,31.78
3,.31,0.6,0,31.43
4,.31,0.8,0,2.75
