6515,2799,25500,10900,16,16.58
6544,2812,25600,10000,15.84,16.41
6508,2796,25400,10900,15.87,16.47
6618,2843,25900,11100,15.31,15.85
6589,2831,25700,11100,15.58,16.11
6443,2768,25200,10800,16.57,17.2
6536,2808,25500,10000,15.75,16.25
6458,2775,25200,10800,16.4,17.04
6397,2748,24000,10700,16.72,17.43
6528,2805,25500,10000,15.95,16.52
6451,2771,25200,10800,16.39,17
6633,2850,25900,11100,15.36,15.88
6474,2782,25300,10900,16.06,16.67
6515,2799,25500,10900,16.01,16.52
6463,2777,25200,10800,16.28,16.91
6528,2805,25500,10000,16.09,16.72
6512,2798,25400,10900,16.08,16.63
6608,2839,25800,11100,15.44,15.96
6535,2808,25500,10000,15.85,16.4
6457,2774,25200,10800,16.02,16.66
6453,2773,25200,10800,16.2,16.81
6425,2761,25100,10800,16.45,17.13
6443,2768,25200,10800,16.45,17.03
6544,2811,25600,10000,15.78,16.34
6487,2787,25300,10900,16.04,16.71
6417,2757,25100,10800,15.71,16.25
5959,2560,23300,10000,16.68,17.32
6400,2750,25000,10700,16.45,17.13
6422,2759,25100,10800,16.62,17.31
6297,2705,24600,10600,17.18,18.01
6482,2785,25300,10900,16.14,16.73
6466,2778,25300,10900,16.31,16.87
6376,2740,24900,10700,16.76,17.52
6587,2830,25700,11100,15.56,16.11
6489,2788,25300,10900,16.13,16.8
6149,2642,24000,10300,16.53,17.19
6507,2796,25400,10900,16.05,16.65
6546,2813,25600,10000,15.96,16.51
6451,2772,25200,10800,16.46,17.02
6544,2812,25600,10000,15.77,16.28
6577,2826,25700,11000,15.42,15.92
6546,2812,25600,10000,15.83,16.41
6463,2777,25200,10800,16.3,16.85
6541,2810,25600,10000,15.74,16.27
6561,2819,25600,11000,15.59,16.13
6417,2757,25100,10800,16.19,16.84
6506,2795,25400,10900,15.98,16.54
6534,2807,25500,10000,15.96,16.53
6489,2788,25400,10900,15.95,16.52
6542,2811,25600,10000,15.73,16.29
6511,2797,25400,10900,16.09,16.69
6610,2840,25800,11100,15.45,15.96
6514,2799,25400,10900,16.2,16.76
6535,2808,25500,10000,16.04,16.6
6462,2776,25200,10800,16.31,16.95
6442,2768,25200,10800,16.39,17.03
6519,2801,25500,10900,16.12,16.68
6546,2813,25600,10000,16.1,16.66
6389,2745,24000,10700,16.91,17.62
6321,2716,24700,10600,17.45,18.05
6474,2782,25300,10900,16.42,17.12
6459,2775,25200,10800,16.51,17.06
6383,2742,24900,10700,16.87,17.56
6406,2752,25000,10800,16.62,17.26
6429,2762,25100,10800,16.4,17.04
6577,2826,25700,11000,15.64,16.17
6381,2742,24900,10700,16.9,17.54
