Iteration,CPU(%),MEM(%),Disk Read(MB/s),Disk Write(MB/s)
1,7.50,0.8,0,0
2,17.29,0.8,0,0
3,17.07,0.8,0,0
4,17.29,0.8,0,0
5,17.29,0.8,0,2.39
6,17.07,0.9,0,2.13
7,17.07,0.9,0,2.50
8,17.18,0.9,0,0
9,17.07,0.9,0,0
10,17.18,0.9,0,0
11,17.29,0.8,0,0
